Country,StockCode,Quantity,UnitPrice,Total Amount
0,12,600,0.72,432.0
0,18,3,5.95,17.85
0,46,400,0.34,136.0
0,51,25,0.42,10.5
0,130,6,2.95,17.700000000000003
0,138,216,2.12,228.95999999999998
0,139,216,2.12,228.95999999999998
0,140,216,2.12,228.95999999999998
0,146,50,29.4,349.5
0,161,100,1.79,179.0
0,162,30,6.11,61.1
0,163,10,1.95,19.5
0,165,10,1.25,12.5
0,170,281,12.799999999999999,423.65
0,171,270,9.5,405.5
0,172,140,6.3999999999999995,211.0
0,173,50,4.949999999999999,82.5
0,178,4,15.9,31.8
0,179,4,15.9,31.8
0,233,12,0.83,9.96
0,234,12,0.85,10.2
0,236,24,0.85,20.4
0,278,12,1.25,15.0
0,280,384,0.55,211.2
0,284,128,1.06,135.68
0,285,385,4.43,408.29
0,289,12,0.85,10.2
0,290,252,1.14,79.8
0,325,3,8.95,26.85
0,326,204,2.42,154.68
0,336,36,1.06,38.16
0,341,384,2.16,276.48
0,342,240,0.19,45.6
0,343,444,1.71,236.76000000000002
0,347,240,0.39,93.6
0,348,396,2.13,255.95999999999998
0,361,36,18.65,217.4
0,364,288,1.06,305.28000000000003
0,376,192,3.39,650.88
0,389,84,8.45,219.0
0,398,48,0.39,18.72
0,404,48,1.69,81.12
0,405,48,1.45,69.6
0,406,12,0.65,7.800000000000001
0,407,96,3.38,162.24
0,408,24,1.65,39.6
0,409,48,1.45,69.6
0,410,72,4.949999999999999,118.80000000000001
0,411,24,1.65,39.6
0,414,12,1.65,19.8
0,415,12,1.65,19.8
0,418,48,1.45,69.6
0,419,12,0.39,4.68
0,421,385,3.95,481.45
0,423,360,0.84,151.2
0,424,144,0.97,63.599999999999994
0,426,192,8.5,816.0
0,427,168,17.9,1503.6
0,428,216,6.5,702.0
0,438,192,1.44,138.24
0,439,192,1.44,138.24
0,440,192,1.44,138.24
0,441,200,4.59,291.91999999999996
0,442,208,6.279999999999999,305.44
0,443,200,4.59,291.91999999999996
0,444,8,1.69,13.52
0,447,96,8.05,247.2
0,517,3,4.25,12.75
0,523,6,2.95,17.700000000000003
0,561,60,1.25,75.0
0,562,80,0.85,68.0
0,600,12,5.9,35.400000000000006
0,611,201,0.76,68.42
0,614,12,0.42,5.04
0,615,144,0.72,51.84
0,616,216,0.72,77.76
0,621,16,30.6,115.2
0,625,48,2.1,100.8
0,629,64,3.75,240.0
0,631,6,9.9,29.7
0,634,12,2.55,30.6
0,644,12,2.25,27.0
0,645,12,2.25,27.0
0,648,12,4.5,27.0
0,665,8,4.95,39.6
0,666,2,9.95,19.9
0,731,8,4.95,39.6
0,732,8,4.95,39.6
