Country,StockCode,Quantity,UnitPrice,Total Amount
Australia,15036,600,0.72,432.0
Australia,15056BL,3,5.95,17.85
Australia,16161P,400,0.34,136.0
Australia,16169E,25,0.42,10.5
Australia,20665,6,2.95,17.700000000000003
Australia,20675,216,2.12,228.95999999999998
Australia,20676,216,2.12,228.95999999999998
Australia,20677,216,2.12,228.95999999999998
Australia,20685,50,29.4,349.5
Australia,20711,100,1.79,179.0
Australia,20712,30,6.11,61.1
Australia,20713,10,1.95,19.5
Australia,20717,10,1.25,12.5
Australia,20725,281,12.799999999999999,423.65
Australia,20726,270,9.5,405.5
Australia,20727,140,6.3999999999999995,211.0
Australia,20728,50,4.949999999999999,82.5
Australia,20749,4,15.9,31.8
Australia,20750,4,15.9,31.8
Australia,20837,12,0.83,9.96
Australia,20838,12,0.85,10.2
Australia,20840,24,0.85,20.4
Australia,20971,12,1.25,15.0
Australia,20973,384,0.55,211.2
Australia,20978,128,1.06,135.68
Australia,20979,385,4.43,408.29
Australia,20983,12,0.85,10.2
Australia,20984,252,1.14,79.8
Australia,21056,3,8.95,26.85
Australia,21058,204,2.42,154.68
Australia,21068,36,1.06,38.16
Australia,21080,384,2.16,276.48
Australia,21084,240,0.19,45.6
Australia,21086,444,1.71,236.76000000000002
Australia,21090,240,0.39,93.6
Australia,21094,396,2.13,255.95999999999998
Australia,21115,36,18.65,217.4
Australia,21121,288,1.06,305.28000000000003
Australia,21137,192,3.39,650.88
Australia,21164,84,8.45,219.0
Australia,21179,48,0.39,18.72
Australia,21191,48,1.69,81.12
Australia,21192,48,1.45,69.6
Australia,21194,12,0.65,7.800000000000001
Australia,21195,96,3.38,162.24
Australia,21196,24,1.65,39.6
Australia,21197,48,1.45,69.6
Australia,21198,72,4.949999999999999,118.80000000000001
Australia,21199,24,1.65,39.6
Australia,21202,12,1.65,19.8
Australia,21204,12,1.65,19.8
Australia,21207,48,1.45,69.6
Australia,21208,12,0.39,4.68
Australia,21210,385,3.95,481.45
Australia,21212,360,0.84,151.2
Australia,21213,144,0.97,63.599999999999994
Australia,21216,192,8.5,816.0
Australia,21217,168,17.9,1503.6
Australia,21218,216,6.5,702.0
Australia,21238,192,1.44,138.24
Australia,21239,192,1.44,138.24
Australia,21240,192,1.44,138.24
Australia,21242,200,4.59,291.91999999999996
Australia,21243,208,6.279999999999999,305.44
Australia,21244,200,4.59,291.91999999999996
Australia,21245,8,1.69,13.52
Australia,21249,96,8.05,247.2
Australia,21366,3,4.25,12.75
Australia,21372,6,2.95,17.700000000000003
Australia,21421,60,1.25,75.0
Australia,21422,80,0.85,68.0
Australia,21481,12,5.9,35.400000000000006
Australia,21503,201,0.76,68.42
Australia,21507,12,0.42,5.04
Australia,21508,144,0.72,51.84
Australia,21509,216,0.72,77.76
Australia,21524,16,30.6,115.2
Australia,21531,48,2.1,100.8
Australia,21537,64,3.75,240.0
Australia,21539,6,9.9,29.7
Australia,21555,12,2.55,30.6
Australia,21577,12,2.25,27.0
Australia,21578,12,2.25,27.0
Australia,21581,12,4.5,27.0
Australia,21622,8,4.95,39.6
Australia,21623,2,9.95,19.9
Australia,21706,8,4.95,39.6
Australia,21707,8,4.95,39.6
Australia,21715,32,2.1,67.2
Australia,21716,32,2.1,67.2
Australia,21731,1344,13.85,1987.2
Australia,21745,4,3.75,15.0
Australia,21770,110,17.7,468.9
Australia,21791,240,4.62,258.96
Australia,21843,73,40.8,727.35
Australia,21876,24,1.25,30.0
Australia,21877,144,1.06,152.64
Australia,21878,60,0.85,51.0
Australia,21880,72,0.65,46.8
Australia,21888,144,3.39,488.16
Australia,21891,432,3.96,570.24
Australia,21892,144,1.06,152.64
Australia,21899,576,0.53,305.28000000000003
Australia,21900,576,0.53,305.28000000000003
Australia,21902,576,0.53,305.28000000000003
Australia,21905,12,0.79,9.48
Australia,21906,4,6.75,27.0
Australia,21914,720,3.18,763.2
Australia,21915,1704,7.800000000000001,1810.8000000000002
Australia,21917,145,0.84,60.9
Australia,21918,289,0.84,121.38
Australia,21922,2,7.95,15.9
Australia,21929,201,5.66,360.08000000000004
Australia,21931,10,2.08,20.8
Australia,21932,15,4.6,31.25
Australia,21933,116,7.9,197.9
Australia,21935,10,1.65,16.5
Australia,21936,66,14.350000000000001,174.7
Australia,21937,10,5.9,29.5
Australia,21974,145,2.7,181.45
Australia,21976,264,0.97,114.0
Australia,21977,240,0.84,100.8
Australia,21981,432,0.25,108.0
Australia,21984,432,0.25,108.0
Australia,21987,120,0.65,78.0
Australia,21988,96,0.64,61.44
Australia,21989,96,0.72,69.12
Australia,21990,84,2.5,105.0
Australia,21992,12,1.25,15.0
Australia,21993,72,2.5,90.0
Australia,22024,156,0.78,56.88
Australia,22025,144,0.36,51.84
Australia,22027,156,0.78,56.88
Australia,22028,144,0.72,51.84
Australia,22029,300,1.5,108.72000000000001
Australia,22035,72,0.36,25.92
Australia,22037,12,0.42,5.04
Australia,22045,425,1.1,146.5
Australia,22046,200,0.34,68.0
Australia,22050,200,0.34,68.0
Australia,22070,36,3.39,122.04
Australia,22077,144,1.45,208.8
Australia,22078,120,1.85,222.0
Australia,22079,120,1.45,174.0
Australia,22080,120,1.45,174.0
Australia,22083,126,8.05,323.7
Australia,22085,40,2.55,102.0
Australia,22086,38,8.850000000000001,112.10000000000001
Australia,22087,48,11.8,141.60000000000002
Australia,22089,24,2.95,70.80000000000001
Australia,22090,220,19.45,585.0
Australia,22093,108,1.4500000000000002,66.24
Australia,22109,144,3.39,488.16
Australia,22119,3,6.95,20.85
Australia,22128,24,1.25,30.0
Australia,22131,72,1.65,118.8
Australia,22132,96,0.72,69.12
Australia,22138,112,33.25,487.2
Australia,22139,267,21.95,1136.85
Australia,22147,201,3.95,251.45
Australia,22148,64,5.55,112.8
Australia,22150,201,5.25,331.95
Australia,22175,18,5.9,53.10000000000001
Australia,22176,12,2.95,35.400000000000006
Australia,22191,18,24.65,142.8
Australia,22192,18,24.65,142.8
Australia,22193,22,33.15,176.8
Australia,22194,2,8.5,17.0
Australia,22195,128,6.3999999999999995,195.2
Australia,22196,208,2.42,156.0
Australia,22219,12,0.85,10.2
Australia,22222,72,4.25,306.0
Australia,22232,8,1.65,13.2
Australia,22244,12,1.95,23.4
Australia,22245,12,0.85,10.2
Australia,22262,48,2.55,40.8
Australia,22271,144,5.1,367.20000000000005
